m6T,m6T,noActrl,noActrl,m6A,m6A,titnoActrl,titnoActrl,m6Ttit,m6Ttit,titm6A,titm6A
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.633532300910325,328213.687355473,0.22073297362035,303394.76483816,0.222007045618156,328162.724475561,35.0164536514863,0.704225352112672,47.9961912318984,0.82494969818913,62.0091931872927,11.6901408450704
48.0251884033967,1622008.31969014,48.0175439714098,1473400.56186575,48.0175439714098,1473400.56186575,35.811942074985,4.20523138832999,48.7982089721426,2.87726358148893,60.38448153711,12.1730382293763
96.3634800002548,5318396.96261236,96.3571096402658,5194557.16442536,96.7724571115514,5268912.00621747,34.1855980956159,5.05030181086521,47.1740414316887,3.2394366197183,62.0010315413608,13.5010060362173
143.736025022774,6240672.20038604,143.732202806781,6166368.32147385,144.957860068672,5993145.49265179,34.9946892623345,5.53319919517104,49.0452347890157,8.06841046277667,60.376319891178,13.9839034205232
,,,,,,34.1709071329384,8.30985915492958,47.1506447133505,8.43058350100604,61.1854110578966,14.466800804829
,,,,,,35.7901776858332,9.03420523138833,47.9575594411539,9.39637826961771,61.1788817411511,15.9154929577465
,,,,,,83.6604075155156,7.82696177062374,98.8301867543288,2.03219315895373,109.841879445688,18.8128772635815
,,,,,,82.035151755604,8.43058350100604,95.8533624280896,2.51509054325956,108.217711905234,19.1750503018109
,,,,,,83.6391872360926,12.5352112676056,93.1480488565193,2.75653923541248,109.832629580299,20.8651911468813
,,,,,,81.7435089409698,13.1388329979879,95.8397596848698,5.53319919517104,108.207373820387,21.4688128772636
,,,,,,81.7407883923258,13.7424547283702,94.4669708391192,10.1207243460765,107.933142517074,22.3138832997988
,,,,,,83.6332020290758,13.8631790744467,97.4399863972568,10.4828973843058,109.825012044096,22.5553319919517
,,,,,,130.726987275767,4.92957746478875,143.975515062204,5.41247484909458,156.891591804347,19.6579476861167
,,,,,,130.716105081191,7.34406438631791,143.699651429705,6.61971830985917,156.879621390314,22.3138832997988
,,,,,,131.790721795562,8.91348088531187,143.953206563324,10.3621730382294,156.558052540596,33.6619718309859
,,,,,,129.895043500439,9.51710261569417,143.949397795222,11.2072434607646,157.631581035509,35.4728370221328
,,,,,,130.428815144388,11.0865191146881,143.943412588205,12.5352112676056,156.008501714512,35.5935613682093
,,,,,,130.692164253124,12.6559356136821,143.939059710375,13.5010060362173,,
